item,nome,fase,tipo,lda,dn,metragem,nfases,codinome
0,6C5G4M,1,1,598.0,26.0,607.0,4,636
1,6C5G4M,2,1,598.0,17.5,1306.0,4,636
2,6C5G4M,3,1,598.0,12.25,1201.0,4,636
3,6C5G4M,4,1,598.0,8.5,1445.0,4,636
4,8030JC,1,1,0.0,17.5,410.0,3,777
5,8030JC,2,1,0.0,12.25,1670.0,3,777
6,8030JC,3,1,0.0,8.5,1498.0,3,777
7,9K474J,1,1,134.0,42.0,79.0,3,948
8,9K474J,2,1,134.0,28.0,995.0,3,948
9,9K474J,3,1,134.0,22.0,1112.0,3,948
10,OYC6AY,1,1,1801.0,26.0,352.0,7,1584
11,OYC6AY,2,1,1801.0,14.75,674.0,7,1584
12,OYC6AY,3,1,1801.0,16.0,0.0,7,1584
13,OYC6AY,4,1,1801.0,12.25,1079.0,7,1584
14,OYC6AY,5,1,1801.0,8.5,568.0,7,1584
15,OYC6AY,6,1,1801.0,8.46875,9.0,7,1584
16,OYC6AY,7,1,1801.0,8.5,703.0,7,1584
17,GQH3R4,1,1,41.5,26.0,93.0,6,1257
18,GQH3R4,2,1,41.5,17.5,509.0,6,1257
19,GQH3R4,3,1,41.5,12.25,1844.0,6,1257
20,GQH3R4,4,1,41.5,8.5,493.0,6,1257
21,GQH3R4,5,1,41.5,8.46875,6.0,6,1257
22,GQH3R4,6,1,41.5,8.5,644.0,6,1257
23,U0AN10,1,1,24.0,26.0,328.0,3,1787
24,U0AN10,2,1,24.0,17.5,1005.0,3,1787
25,U0AN10,3,1,24.0,12.25,235.0,3,1787
26,P86A8J,1,1,880.0,26.0,418.0,3,1602
27,P86A8J,2,1,880.0,16.0,886.0,3,1602
28,P86A8J,3,1,880.0,12.25,1489.0,3,1602
29,7PCLH2,1,1,2200.0,26.0,49.0,4,756
30,7PCLH2,2,1,2200.0,17.5,460.0,4,756
31,7PCLH2,3,1,2200.0,12.25,672.0,4,756
32,7PCLH2,4,1,2200.0,8.5,1200.0,4,756
33,178N74,1,1,1801.0,17.5,500.0,3,140
34,178N74,2,1,1801.0,12.25,1225.0,3,140
35,178N74,3,1,1801.0,8.5,315.0,3,140
36,T5GBJN,1,1,1918.0,26.0,410.0,4,1757
37,T5GBJN,2,1,1918.0,16.0,954.0,4,1757
38,T5GBJN,3,1,1918.0,12.25,956.0,4,1757
39,T5GBJN,4,1,1918.0,8.5,965.0,4,1757
40,48T9LT,1,1,976.0,8.5,710.0,4,448
41,48T9LT,2,1,976.0,26.0,50.0,4,448
42,48T9LT,3,1,976.0,17.5,665.0,4,448
43,48T9LT,4,1,976.0,12.25,3683.0,4,448
44,M626VM,1,1,1147.0,36.0,62.0,3,1479
45,M626VM,2,1,1147.0,17.5,595.0,3,1479
46,M626VM,3,1,1147.0,12.25,1045.0,3,1479
51,H43MYL,1,1,295.0,36.0,66.0,5,1272
52,H43MYL,2,1,295.0,26.0,426.0,5,1272
53,H43MYL,3,1,295.0,17.5,1293.0,5,1272
54,H43MYL,4,1,295.0,12.25,1195.0,5,1272
55,H43MYL,5,1,295.0,8.5,932.0,5,1272
56,US4486,1,1,69.0,26.0,16.0,6,1805
57,US4486,2,1,69.0,26.0,64.0,6,1805
58,US4486,3,1,69.0,17.5,0.0,6,1805
59,US4486,4,1,69.0,12.25,570.0,6,1805
60,US4486,5,1,69.0,8.5,1514.0,6,1805
61,US4486,6,1,69.0,8.5,140.0,6,1805
62,DJ943I,1,1,859.0,26.0,61.0,6,1113
63,DJ943I,2,1,859.0,17.5,765.0,6,1113
64,DJ943I,3,1,859.0,12.25,1256.0,6,1113
65,DJ943I,4,1,859.0,12.25,5.0,6,1113
66,DJ943I,5,1,859.0,12.25,329.0,6,1113
67,DJ943I,6,1,859.0,8.5,715.0,6,1113
68,4WE2M3,1,1,2336.0,36.0,63.0,4,493
69,4WE2M3,2,1,2336.0,26.0,492.0,4,493
70,4WE2M3,3,1,2336.0,17.5,591.0,4,493
71,4WE2M3,4,1,2336.0,12.25,1800.0,4,493
72,1E276T,1,1,1025.0,36.0,64.0,4,159
73,1E276T,2,1,1025.0,17.5,900.0,4,159
74,1E276T,3,1,1025.0,12.25,1682.0,4,159
75,1E276T,4,1,1025.0,8.5,1504.0,4,159
